,kaywords,weight
25,"dict_keys(['riseup', 'rfh', 'resili', 'riseup home', 'track', 'grit', 'got grit', 'home', 'creativ', 'becom'])","dict_values([0.348, 0.288, 0.24, 0.164, 0.139, 0.123, 0.123, 0.123, 0.111, 0.1])"
26,"dict_keys(['itu', 'digit', 'ecosystem builder', 'maker', 'global', 'builder', 'challeng', 'innov', 'itu int', 'int'])","dict_values([0.233, 0.228, 0.198, 0.188, 0.165, 0.164, 0.152, 0.152, 0.147, 0.147])"
27,"dict_keys(['consult', 'program', 'entrepreneuri system egypt', 'entrepreneuri system', 'startup', 'system egypt middl', 'system egypt', 'egypt middl east', 'egypt middl', 'incub program'])","dict_values([0.154, 0.153, 0.151, 0.151, 0.145, 0.142, 0.142, 0.126, 0.126, 0.124])"
28,"dict_keys(['fatura', 'wholesal', 'fmcg', 'retail', 'fatura co founder', 'fatura co', 'disruptech', 'co founder', 'market', 'data'])","dict_values([0.597, 0.386, 0.264, 0.151, 0.105, 0.105, 0.099, 0.091, 0.085, 0.085])"
29,"dict_keys(['orang', 'orang ventur', 'mea', 'seed challeng', 'mea seed challeng', 'mea seed', 'seed', 'invest', 'challeng', 'ventur'])","dict_values([0.488, 0.301, 0.244, 0.2, 0.2, 0.2, 0.191, 0.152, 0.145, 0.143])"
30,"dict_keys(['unicef', 'unicef innov fund', 'unicef innov', 'fund', 'innov fund', 'open sourc', 'submiss', 'solut', 'cryptocurr', 'sourc'])","dict_values([0.429, 0.23, 0.23, 0.213, 0.206, 0.186, 0.158, 0.155, 0.137, 0.127])"
31,"dict_keys(['msd', 'vezeeta', 'healthcar', 'msd egypt', 'patient', 'doctor', 'medic', 'healthcar provid', 'diseas', 'digit'])","dict_values([0.452, 0.387, 0.313, 0.264, 0.221, 0.216, 0.149, 0.141, 0.122, 0.117])"
32,"dict_keys(['ebn', 'laura', 'ebn member', 'member', 'lecci', 'laura lecci', 'javier', 'interim', 'ceo ad interim', 'ceo ad'])","dict_values([0.668, 0.239, 0.191, 0.156, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143])"
33,"dict_keys(['globaltron', 'ifc', 'energi', 'manufactur', 'meter', 'prepaid', 'electr', 'reform', 'consumpt', 'govern'])","dict_values([0.482, 0.286, 0.219, 0.197, 0.191, 0.17, 0.168, 0.162, 0.147, 0.133])"
34,"dict_keys(['fastercapit', 'woman round', 'purpos', 'woman', 'product invest', 'incub base dubai', 'technic', 'base dubai', 'round', 'need'])","dict_values([0.591, 0.236, 0.175, 0.168, 0.148, 0.148, 0.146, 0.141, 0.136, 0.126])"
35,"dict_keys(['car', 'kemitt', 'drug', 'startup', 'incub', 'tawfiqia com', 'tawfiqia', 'car product', 'sale', 'startup abl'])","dict_values([0.242, 0.224, 0.187, 0.18, 0.15, 0.14, 0.14, 0.14, 0.14, 0.134])"
36,"dict_keys(['moneyfellow', 'partech', 'circl', 'financi', 'money circl', 'sawari ventur', 'sawari', 'money', 'save', 'financi inclus'])","dict_values([0.514, 0.248, 0.242, 0.241, 0.222, 0.166, 0.166, 0.145, 0.13, 0.115])"
37,"dict_keys(['chefaa', 'chronic', 'chronic patient', 'patient', 'pharmaci', 'team behind chefaa', 'behind chefaa', 'vision ventur', 'team behind', 'womena'])","dict_values([0.573, 0.229, 0.222, 0.203, 0.137, 0.133, 0.133, 0.119, 0.119, 0.115])"
38,"dict_keys(['shezlong', 'mental health', 'mental', 'health', 'therapi', 'psycholog', 'invest', 'therapist', 'himangel', 'chairman'])","dict_values([0.588, 0.302, 0.277, 0.212, 0.173, 0.121, 0.108, 0.104, 0.101, 0.101])"
39,"dict_keys(['eyouth', 'edventur', 'misr publish hous', 'publish hous', 'nahdet misr publish', 'nahdet misr', 'misr publish', 'nahdet', 'invest', 'misr'])","dict_values([0.366, 0.21, 0.183, 0.172, 0.172, 0.172, 0.172, 0.149, 0.144, 0.136])"
40,"dict_keys(['sme', 'digit', 'implement', 'project', 'digit transform', 'transform project', 'digit transform project', 'mcit', 'transform', 'opportun digit'])","dict_values([0.255, 0.225, 0.2, 0.2, 0.188, 0.175, 0.175, 0.165, 0.153, 0.126])"
41,"dict_keys(['brimor', 'consum', 'moham', 'distribut', 'round', 'ventur', 'invest', 'algebra ventur', 'algebra', 'social seller'])","dict_values([0.634, 0.09, 0.089, 0.089, 0.085, 0.08, 0.079, 0.079, 0.079, 0.079])"
42,"dict_keys(['blockchain', 'session', 'confer', 'session blockchain', 'blockchain technolog', 'may', 'challeng', 'use case', 'challeng start', 'busi blockchain'])","dict_values([0.609, 0.327, 0.287, 0.207, 0.178, 0.145, 0.142, 0.129, 0.129, 0.129])"
43,"dict_keys(['ventil', 'pb', 'medtron', 'patient', 'design', 'respiratori', 'covid', 'document', 'medic', 'manufactur'])","dict_values([0.663, 0.306, 0.306, 0.2, 0.163, 0.153, 0.132, 0.116, 0.101, 0.1])"
44,"dict_keys(['hackathon', 'sdg', 'mena hack', 'hack', 'mena', 'travel', 'north', 'alreadi', 'cultur', 'global'])","dict_values([0.502, 0.433, 0.259, 0.193, 0.15, 0.109, 0.1, 0.099, 0.097, 0.097])"
45,"dict_keys(['assuit', 'websit', 'hire', 'talent', 'languag', 'recruit', 'medic', 'startup', 'blockchain', 'referr'])","dict_values([0.227, 0.19, 0.167, 0.15, 0.148, 0.146, 0.146, 0.141, 0.139, 0.138])"
46,"dict_keys(['icealex', 'embassi cairo', 'embassi', 'woman', 'incub', 'startup', 'three sector', 'startup leagu', 'start egypt program', 'leagu'])","dict_values([0.344, 0.164, 0.155, 0.151, 0.142, 0.136, 0.133, 0.133, 0.133, 0.133])"
47,"dict_keys(['icealex', 'woman', 'incub', 'three sector', 'startup leagu', 'leagu', 'ladi startup leagu', 'ladi startup', 'ladi', 'educ environ'])","dict_values([0.362, 0.159, 0.15, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14])"
48,"dict_keys(['dell technolog', 'dell', 'sdg', 'march th', 'technolog', 'march', 'vega', 'la vega', 'program get', 'partnership inform technolog'])","dict_values([0.36, 0.326, 0.224, 0.224, 0.174, 0.16, 0.12, 0.12, 0.116, 0.116])"
49,"dict_keys(['garment', 'garment io', 'factori', 'io', 'termin', 'batch', 'startup', 'product', 'machin', 'check'])","dict_values([0.466, 0.389, 0.378, 0.275, 0.139, 0.12, 0.112, 0.11, 0.098, 0.095])"
50,"dict_keys(['citi', 'franc', 'sustain citi', 'africa', 'sustain', 'egyptian entrepreneur', 'submit applic', 'african', 'visit', 'submit'])","dict_values([0.524, 0.256, 0.207, 0.198, 0.171, 0.149, 0.148, 0.128, 0.122, 0.116])"
51,"dict_keys(['elmenu', 'food', 'ventur', 'global ventur', 'order', 'algebra', 'user', 'global', 'algebra ventur', 'order food'])","dict_values([0.327, 0.313, 0.246, 0.231, 0.186, 0.157, 0.14, 0.138, 0.135, 0.134])"
52,"dict_keys(['start egypt', 'injaz egypt', 'member', 'injaz', 'program', 'egypt', 'team', 'start', 'team member', 'particip'])","dict_values([0.266, 0.248, 0.238, 0.235, 0.222, 0.206, 0.19, 0.184, 0.173, 0.153])"
53,"dict_keys(['sarwa', 'invest', 'kipco', 'dhabi', 'abu dhabi', 'abu', 'region', 'hambro perk', 'hambro', 'financi'])","dict_values([0.72, 0.197, 0.158, 0.132, 0.132, 0.125, 0.116, 0.113, 0.113, 0.099])"
54,"dict_keys(['icommun', 'lyve', 'compound', 'resid', 'key', 'real estat develop', 'owner associ', 'home owner associ', 'estat develop', 'home owner'])","dict_values([0.412, 0.263, 0.22, 0.204, 0.184, 0.176, 0.176, 0.176, 0.176, 0.165])"
55,"dict_keys(['fulltact', 'contact', 'contact inform', 'profil', 'user', 'inform', 'ezzat founder', 'control privaci', 'ceo fulltact', 'ezzat'])","dict_values([0.416, 0.289, 0.208, 0.202, 0.145, 0.142, 0.139, 0.139, 0.139, 0.13])"
56,"dict_keys(['wire microsystem', 'wire', 'microsystem', 'innov', 'xmachin', 'civil societi', 'civil', 'arab african', 'exhibit', 'societi'])","dict_values([0.26, 0.26, 0.26, 0.224, 0.182, 0.167, 0.161, 0.157, 0.12, 0.115])"
57,"dict_keys(['lendo', 'sme', 'invoic', 'borrow', 'financ', 'lend', 'lender', 'sophist investor', 'outstand invoic', 'sophist'])","dict_values([0.544, 0.362, 0.192, 0.183, 0.16, 0.126, 0.122, 0.102, 0.102, 0.085])"
58,"dict_keys(['commerc', 'store', 'deliveri', 'logist', 'pick', 'parcel', 'market mena', 'custom', 'retail store', 'repeat'])","dict_values([0.431, 0.258, 0.223, 0.18, 0.15, 0.123, 0.116, 0.115, 0.11, 0.11])"
59,"dict_keys(['medic', 'medic suppli', 'suppli', 'commerc startup', 'salah', 'commerc', 'startup', 'assuit', 'purchas', 'serv'])","dict_values([0.37, 0.336, 0.225, 0.21, 0.2, 0.195, 0.188, 0.173, 0.154, 0.122])"
60,"dict_keys(['ifix', 'phone', 'repair', 'mobil devic', 'devic repair', 'devic', 'mobil devic repair', 'gad', 'compani', 'year'])","dict_values([0.411, 0.268, 0.257, 0.183, 0.183, 0.173, 0.137, 0.137, 0.126, 0.119])"
61,"dict_keys(['misk', 'startup', 'misk innov', 'press releas', 'batch', 'press', 'invest', 'releas', 'program', 'compani'])","dict_values([0.359, 0.253, 0.142, 0.138, 0.132, 0.125, 0.115, 0.114, 0.108, 0.104])"
62,"dict_keys(['amjaad', 'electr', 'one top', 'offer smart electr', 'offer smart', 'iomet', 'smart electr meter', 'smart electr', 'electr meter', 'pitch'])","dict_values([0.507, 0.176, 0.158, 0.158, 0.158, 0.158, 0.145, 0.145, 0.145, 0.14])"
63,"dict_keys(['freeziana', 'handmad', 'sell', 'websit sell', 'artist', 'woman', 'item', 'websit', 'independ', 'prize'])","dict_values([0.313, 0.294, 0.254, 0.196, 0.174, 0.167, 0.165, 0.162, 0.142, 0.101])"
64,"dict_keys(['riseup', 'gemini enterpris africa', 'gemini enterpris', 'gemini', 'enterpris africa', 'pyramid', 'orascom', 'partnership', 'enterpris', 'africa'])","dict_values([0.281, 0.28, 0.28, 0.28, 0.28, 0.218, 0.171, 0.165, 0.151, 0.134])"
65,"dict_keys(['dubai', 'riseup', 'startup', 'dubai expo', 'cofound', 'final', 'pyramid', 'expo', 'pitch', 'qualifi'])","dict_values([0.2, 0.162, 0.161, 0.144, 0.142, 0.112, 0.105, 0.105, 0.099, 0.097])"
66,"dict_keys(['technolog', 'tech fuze', 'fuze', 'futur readi', 'technolog commun', 'director', 'ahm', 'engin', 'event', 'readi'])","dict_values([0.201, 0.173, 0.173, 0.173, 0.155, 0.142, 0.141, 0.138, 0.126, 0.104])"
67,"dict_keys(['egx', 'farid', 'raya', 'ipo', 'fawri', 'saleh', 'summit', 'sawiri', 'salama', 'moham farid saleh'])","dict_values([0.166, 0.155, 0.148, 0.148, 0.145, 0.134, 0.133, 0.131, 0.124, 0.124])"
68,"dict_keys(['develop', 'dafza', 'nestl', 'summit', 'dubai', 'commerc', 'mena', 'startup', 'ecosystem', 'import corpor innov'])","dict_values([0.158, 0.127, 0.122, 0.119, 0.113, 0.11, 0.102, 0.102, 0.1, 0.094])"
