,kaywords,weight
22,"dict_keys(['صمم رسم', 'قرا', 'صمم', 'طبق', 'نشء', 'رنمج حضو', 'طبق طبق', 'ردد قصص', 'رسم', 'نشء طبق'])","dict_values([0.246, 0.23, 0.214, 0.197, 0.169, 0.168, 0.154, 0.146, 0.144, 0.133])"
23,"dict_keys(['صغر وسط', 'صغر', 'تحد دول', 'تحد', 'جءز', 'تحد دول تصل', 'شرك صغر', 'رقم', 'دول تصل', 'علم رقم'])","dict_values([0.217, 0.203, 0.196, 0.158, 0.153, 0.147, 0.146, 0.145, 0.143, 0.138])"
24,"dict_keys(['درف', 'وصل لمل خير', 'وصل لمل', 'لمل خير', 'خدم', 'شرك درف', 'درف جمع', 'خير', 'جور', 'جور لءلكترن'])","dict_values([0.502, 0.224, 0.224, 0.224, 0.181, 0.168, 0.158, 0.143, 0.138, 0.131])"
25,"dict_keys(['رقم', 'جمع', 'بدع', 'كنلج', 'ركز', 'مصر رقم', 'بدع كنلج', 'ركز بدع', 'بوب', 'علم ركز بدع'])","dict_values([0.239, 0.213, 0.206, 0.194, 0.176, 0.173, 0.137, 0.137, 0.115, 0.11])"
26,"dict_keys(['لبرنمج', 'وجد', 'بزج', 'شرك نشء', 'نشء', 'مكن', 'لمم', 'شرك لبرنمج', 'نسخ جدد', 'مكن شرك لبرنمج'])","dict_values([0.262, 0.223, 0.213, 0.196, 0.179, 0.152, 0.144, 0.14, 0.133, 0.133])"
27,"dict_keys(['طعم', 'ردر', 'لجب', 'طبق', 'عبد', 'شرب', 'شرك دول', 'خدم طبق', 'خدم', 'جهز'])","dict_values([0.303, 0.249, 0.152, 0.152, 0.151, 0.148, 0.143, 0.125, 0.123, 0.121])"
28,"dict_keys(['وري', 'مصر', 'دفع', 'صبر', 'لبن ركز', 'عرر', 'جني', 'لبن', 'ملو', 'سبق بلغ'])","dict_values([0.344, 0.178, 0.165, 0.157, 0.142, 0.142, 0.138, 0.131, 0.126, 0.118])"
29,"dict_keys(['تحد فرق', 'فرق تصل', 'تحد فرق تصل', 'فرق', 'تحد', 'تصل', 'رحل ثون', 'حدي', 'بتكر', 'دلر مرك'])","dict_values([0.323, 0.258, 0.258, 0.222, 0.206, 0.164, 0.144, 0.141, 0.139, 0.138])"
30,"dict_keys(['علم', 'جلس', 'جلس حور', 'عرب', 'علم عرب', 'سبع علم عرب', 'سبع علم', 'حور', 'وطن عرب', 'فعل'])","dict_values([0.268, 0.226, 0.19, 0.187, 0.162, 0.152, 0.137, 0.127, 0.126, 0.119])"
31,"dict_keys(['لمج فوق', 'فوق صتو', 'فوق', 'جهز', 'صتو', 'لمج', 'لمج فوق صتو', 'شعع', 'دلل', 'لءستجرف'])","dict_values([0.263, 0.263, 0.239, 0.229, 0.213, 0.208, 0.197, 0.197, 0.178, 0.175])"
32,"dict_keys(['سبع علم', 'عرب', 'سبع علم عرب', 'علم', 'سبع', 'علم عرب', 'علم كنلج', 'جلس منء', 'منء', 'دول'])","dict_values([0.315, 0.29, 0.274, 0.269, 0.215, 0.212, 0.206, 0.139, 0.13, 0.125])"
33,"dict_keys(['سبع علم', 'سبع', 'علم', 'عرب', 'سبع علم عرب', 'علم كنلج', 'علم عرب', 'فعل شكل', 'حيو بشر', 'بسط علم'])","dict_values([0.307, 0.276, 0.255, 0.213, 0.203, 0.187, 0.145, 0.142, 0.136, 0.136])"
34,"dict_keys(['روز', 'لقي', 'لقي روز', 'سور', 'زلل', 'لقي روز زلل', 'صمد', 'روز زلل', 'رود عمل', 'ستضف'])","dict_values([0.354, 0.351, 0.255, 0.172, 0.155, 0.128, 0.128, 0.128, 0.112, 0.106])"
35,"dict_keys(['رقم', 'تحد', 'نشء نظم', 'بدع', 'صنع', 'قتصد', 'جءح كفد', 'فضل مرس', 'علم', 'نظم كلج'])","dict_values([0.23, 0.215, 0.211, 0.17, 0.145, 0.144, 0.141, 0.137, 0.134, 0.133])"
36,"dict_keys(['نتج', 'بنن قهر', 'نتج صنع', 'بدر رود', 'بدر', 'نيل', 'صدر', 'هندس', 'جور', 'قدم للبرنمج'])","dict_values([0.22, 0.199, 0.171, 0.161, 0.157, 0.154, 0.15, 0.137, 0.136, 0.119])"
37,"dict_keys(['فتر', 'سلع هلك', 'جمل', 'سلع', 'جور جزء', 'هلك', 'جور', 'جور جمل', 'بيع جمل', 'جزء'])","dict_values([0.314, 0.277, 0.276, 0.273, 0.238, 0.233, 0.217, 0.177, 0.133, 0.129])"
38,"dict_keys(['رنج', 'رنج نتشرز', 'نتشرز', 'رود عمل', 'ثمر', 'ولي', 'رود', 'ثمر ولي', 'يور', 'دعم'])","dict_values([0.423, 0.282, 0.209, 0.132, 0.13, 0.13, 0.125, 0.117, 0.116, 0.111])"
39,"dict_keys(['ستر بتل', 'ستر', 'بتل', 'نشء', 'ستر بتل حضن', 'بتل حضن عمل', 'بتل حضن', 'مكن قدم', 'غرض', 'حوج'])","dict_values([0.37, 0.34, 0.267, 0.181, 0.148, 0.148, 0.148, 0.141, 0.128, 0.126])"
40,"dict_keys(['زيت', 'مرض', 'صحح', 'رعو', 'رعو صحح', 'قدم رعو', 'ءم ءس', 'ءس', 'قدم رعو صحح', 'ءم'])","dict_values([0.362, 0.293, 0.276, 0.256, 0.237, 0.188, 0.175, 0.164, 0.157, 0.157])"
41,"dict_keys(['شبك ورب', 'ورب ركز عمل', 'ورب ركز', 'شبك ورب ركز', 'ورب', 'ركز عمل', 'شبك', 'نصب', 'ورو', 'ركز عمل بتكر'])","dict_values([0.309, 0.265, 0.265, 0.265, 0.254, 0.237, 0.211, 0.209, 0.207, 0.176])"
42,"dict_keys(['جلبلترنكس', 'ءسس مول', 'مول دول', 'ءسس مول دول', 'كهرب', 'زود', 'مول', 'هلو', 'مصر', 'صنع'])","dict_values([0.384, 0.253, 0.229, 0.229, 0.187, 0.174, 0.172, 0.152, 0.152, 0.132])"
43,"dict_keys(['بعو', 'ءدو', 'سور', 'وصي', 'مزع', 'صحب سور', 'سرت', 'بحث', 'رحب', 'خصم'])","dict_values([0.171, 0.166, 0.151, 0.151, 0.151, 0.151, 0.145, 0.132, 0.13, 0.127])"
44,"dict_keys(['مون للز', 'للز', 'مون', 'لمل', 'دءر لمل', 'دءر', 'رتك', 'سور نشرز', 'نشرز', 'دخر'])","dict_values([0.444, 0.417, 0.36, 0.21, 0.185, 0.171, 0.166, 0.148, 0.117, 0.099])"
45,"dict_keys(['عوق', 'ذوي عوق', 'ءشخص ذوي عوق', 'ءشخص ذوي', 'ءشخص', 'ذوي', 'لءم', 'طبق', 'جءز', 'طلق'])","dict_values([0.329, 0.276, 0.276, 0.276, 0.259, 0.249, 0.152, 0.127, 0.113, 0.108])"
46,"dict_keys(['شفف', 'مرض', 'مرض زمن', 'زمن', 'فيج شرز', 'فرق قفف', 'صدل', 'قفف', 'فيج', 'ءدو'])","dict_values([0.463, 0.245, 0.211, 0.15, 0.127, 0.127, 0.123, 0.113, 0.113, 0.104])"
47,"dict_keys(['شزلنج', 'صحح', 'علج', 'ثمر', 'فيي', 'جلس', 'نصص', 'رءس جلس', 'ضمم', 'ثمر جدد'])","dict_values([0.412, 0.287, 0.198, 0.167, 0.143, 0.128, 0.124, 0.103, 0.088, 0.087])"
48,"dict_keys(['نهض مصر', 'نهض', 'دور نهض مصر', 'دور نهض', 'نهض مصر نشر', 'مصر نشر', 'خلف حفظ', 'ثمر', 'شبب', 'مصر'])","dict_values([0.243, 0.211, 0.18, 0.18, 0.161, 0.15, 0.15, 0.138, 0.13, 0.127])"
49,"dict_keys(['كلي', 'فكر صمم', 'صمم', 'بتكر', 'همو', 'سوع', 'لحد همو ضحو', 'لحد همو', 'بقع سوع', 'رنمج'])","dict_values([0.201, 0.165, 0.153, 0.148, 0.143, 0.142, 0.117, 0.117, 0.117, 0.114])"
50,"dict_keys(['شرك صغر وسط', 'رقم', 'فيي', 'شرك صغر', 'صغر', 'صغر وسط', 'كنلج علم', 'رصص رقم', 'تصل كنلج', 'تصل'])","dict_values([0.23, 0.228, 0.227, 0.225, 0.215, 0.209, 0.159, 0.143, 0.143, 0.14])"
51,"dict_keys(['رمر', 'حمد', 'ثمر', 'سلع', 'شرز', 'هلك', 'ولق', 'وزع', 'شرر', 'جول'])","dict_values([0.624, 0.151, 0.113, 0.101, 0.099, 0.086, 0.085, 0.085, 0.084, 0.084])"
52,"dict_keys(['رمر', 'خزن', 'دسرب', 'لمل', 'حمد', 'خدم لمل', 'كنلج لمل', 'ثمر', 'عكش', 'حمد عكش'])","dict_values([0.346, 0.268, 0.235, 0.164, 0.146, 0.133, 0.13, 0.126, 0.115, 0.115])"
53,"dict_keys(['جهز صنع', 'جهز', 'مرض', 'صنع', 'دتر', 'ثءق', 'صمم', 'علم', 'وصف صمم', 'نوج جهز صنع'])","dict_values([0.538, 0.334, 0.252, 0.252, 0.147, 0.131, 0.128, 0.116, 0.098, 0.098])"
54,"dict_keys(['هدف رقم', 'هكس', 'منو هكس', 'هكث', 'منو', 'هكث طبع', 'ءهدف', 'رقم', 'هدف', 'ولت حدد'])","dict_values([0.383, 0.307, 0.307, 0.303, 0.247, 0.153, 0.153, 0.149, 0.117, 0.105])"
55,"dict_keys(['وظف', 'وهب تقن', 'طبق وفر', 'سوط طبق وفر', 'سوط طبق', 'سوط', 'وقع', 'رشح', 'طبي', 'وفر'])","dict_values([0.245, 0.214, 0.214, 0.214, 0.214, 0.188, 0.157, 0.151, 0.149, 0.148])"
56,"dict_keys(['یكس', 'ایس یكس', 'ایس', 'شرك ایس یكس', 'شرك ایس', 'لحتفلی', 'رید عمل', 'رید', 'رءد عمل', 'لید دعم'])","dict_values([0.336, 0.28, 0.28, 0.224, 0.224, 0.168, 0.16, 0.16, 0.121, 0.112])"
57,"dict_keys(['یكس', 'ایس یكس', 'ایس', 'شرك ایس یكس', 'شرك ایس', 'لءسكندری', 'رید عمل', 'رید', 'رءد عمل', 'یكس صحب'])","dict_values([0.356, 0.297, 0.297, 0.237, 0.237, 0.178, 0.17, 0.17, 0.128, 0.119])"
58,"dict_keys(['حفظ قلب', 'نوو', 'قلب', 'شغل شبب مصر', 'شغل شبب', 'سبق نوو', 'سبق', 'شبب', 'شبب مصر', 'جتمع'])","dict_values([0.251, 0.225, 0.218, 0.188, 0.188, 0.177, 0.165, 0.163, 0.142, 0.134])"
59,"dict_keys(['صنع', 'الو', 'رتبس', 'تمم', 'تبع', 'زود', 'لحد', 'نتج', 'حضو', 'ولق'])","dict_values([0.223, 0.194, 0.186, 0.158, 0.134, 0.126, 0.123, 0.119, 0.109, 0.106])"
60,"dict_keys(['مدن', 'فرنس', 'دوم', 'مدد', 'زور', 'رود عمل مصر', 'عمل مصر', 'فرق', 'منح', 'هدف حدي'])","dict_values([0.357, 0.266, 0.175, 0.159, 0.134, 0.133, 0.124, 0.118, 0.114, 0.108])"
61,"dict_keys(['جتمع', 'جمع هلل', 'جمع', 'نتربرنل', 'سءل جتمع', 'هلل', 'شبب', 'هلل قبض', 'قسم سءل جمع', 'قسم سءل'])","dict_values([0.261, 0.188, 0.185, 0.162, 0.152, 0.148, 0.143, 0.141, 0.141, 0.141])"
62,"dict_keys(['فيي', 'شمل لمل', 'لمل', 'سدو', 'سدو عمل', 'رقم', 'عمل فيي', 'نسب', 'مصر', 'جمع سدو عمل'])","dict_values([0.415, 0.21, 0.185, 0.174, 0.173, 0.146, 0.124, 0.124, 0.123, 0.115])"
63,"dict_keys(['ثرو', 'ثمر', 'ابو ظبي', 'ظبي', 'كوي قبض', 'ابو', 'شرك كوي قبض', 'شرك كوي', 'كوي', 'قبض'])","dict_values([0.587, 0.235, 0.178, 0.17, 0.163, 0.141, 0.135, 0.135, 0.126, 0.123])"
64,"dict_keys(['تصل', 'هتف', 'شرك بنت', 'بنت', 'طبق', 'فرد', 'طيع', 'هتف تمم', 'عزت', 'حمد عزت'])","dict_values([0.281, 0.242, 0.221, 0.207, 0.178, 0.165, 0.139, 0.138, 0.138, 0.138])"
65,"dict_keys(['ثرر', 'رود عمل صعد', 'عمل صعد', 'صعد', 'بسط', 'رود عمل', 'رود', 'نتج', 'سرع عمل', 'نسب سهم شرك'])","dict_values([0.264, 0.245, 0.233, 0.156, 0.154, 0.152, 0.144, 0.144, 0.117, 0.117])"
